customer_id,customer_email,customer_name,segment,postal_code,joining_date
AA-10375,stern@verizon.net,Allen Armold,Consumer,30318,22-08-2017
AA-10480,bancboy@icloud.com,Andrew Allen,Consumer,80027,15-02-2017
AB-10060,dmouse@outlook.com,Adam Bellavance,Home Office,54302,16-04-2017
AB-10165,atmarks@live.com,Alan Barnes,Consumer,73034,13-01-2017
AC-10420,cvrcek@me.com,Alyssa Crouse,Corporate,19120,27-01-2017
AD-10180,dcoppit@gmail.com,Alan Dominguez,Home Office,33614,29-01-2017
AF-10885,louise@msn.com,Art Foster,Consumer,55016,27-09-2016
AG-10495,dinther@outlook.com,Andrew Gjertsen,Corporate,60540,19-03-2017
AG-10525,stern@verizon.net,Andy Gerbode,Corporate,55407,29-03-2017
AG-10675,benits@msn.com,Anna Gayman,Consumer,73071,01-04-2017
AG-10765,evans@me.com,Anthony Garverick,Home Office,33012,14-01-2017
AG-10900,benits@msn.com,Arthur Gainer,Consumer,73034,02-02-2017
AH-10195,bsikdar@msn.com,Alan Haines,Corporate,85705,22-03-2017
AH-10210,shaffei@sbcglobal.net,Alan Hwang,Consumer,75220,24-04-2017
AJ-10780,pgolle@mac.com,Anthony Jacobs,Corporate,77340,28-02-2017
AJ-10795,msroth@me.com,Anthony Johnson,Corporate,78550,23-04-2017
AJ-10945,world@att.net,Ashley Jarboe,Consumer,85705,16-06-2017
AJ-10960,stern@verizon.net,Astrea Jones,Consumer,85705,29-01-2017
AM-10360,louise@msn.com,Alice McCarthy,Corporate,10009,16-04-2017
AP-10915,comdig@yahoo.com,Arthur Prichep,Consumer,28806,06-03-2017
AR-10405,dbindel@gmail.com,Allen Rosenblatt,Corporate,32137,27-01-2017
AR-10510,horrocks@verizon.net,Andrew Roberts,Consumer,92646,18-02-2017
AR-10825,shaffei@sbcglobal.net,Anthony Rawles,Corporate,60610,25-05-2017
AS-10135,bancboy@icloud.com,Adrian Shami,Home Office,90604,03-03-2017
AS-10225,msroth@me.com,Alan Schoenberger,Corporate,44105,04-10-2016
AS-10240,duncand@mac.com,Alan Shonely,Consumer,94109,09-02-2017
AS-10285,wildfire@yahoo.com,Alejandro Savely,Corporate,54302,25-02-2017
AT-10735,mastinfo@msn.com,Annie Thurman,Consumer,90604,08-04-2017
BB-10990,dmouse@outlook.com,Barry Blumstein,Corporate,90036,15-01-2017
BB-11545,dcoppit@gmail.com,Brenda Bowman,Corporate,28806,11-03-2017
BD-11320,dinther@outlook.com,Bill Donatelli,Consumer,95123,07-05-2017
BD-11500,shaffei@sbcglobal.net,Bradley Drucker,Consumer,71111,07-03-2017
BD-11605,dmouse@outlook.com,Brian Dahlen,Consumer,27514,13-01-2017
BD-11725,gordonjcp@comcast.net,Bruce Degenhardt,Consumer,90008,02-03-2017
BE-11335,dawnsong@hotmail.com,Bill Eplett,Home Office,61604,07-02-2017
BF-11020,tangsh@mac.com,Barry Französisch,Corporate,7601,04-02-2017
BH-11710,mastinfo@msn.com,Brosina Hoffman,Consumer,92037,24-07-2017
BK-11260,specprog@icloud.com,Berenike Kampe,Consumer,59405,08-07-2017
BM-11140,ylchang@att.net,Becky Martin,Consumer,11572,02-10-2016
BM-11650,atmarks@live.com,Brian Moss,Corporate,98198,03-08-2017
BM-11785,mastinfo@msn.com,Bryan Mills,Consumer,98105,18-01-2017
BN-11470,mastinfo@msn.com,Brad Norvell,Corporate,62301,04-05-2017
BN-11515,ylchang@att.net,Bradley Nguyen,Consumer,10009,02-05-2017
BP-11095,benits@msn.com,Bart Pistole,Corporate,48183,24-03-2017
BP-11185,bancboy@icloud.com,Ben Peterman,Corporate,94521,06-03-2017
BS-11590,dbindel@gmail.com,Brendan Sweed,Corporate,44312,25-03-2017
